dataset,strategy,n_seeds,utility_accuracy_test_mean,utility_accuracy_test_std,unlearning_score_mean,unlearning_score_std,forget_confidence_mean_unlearned_mean,forget_confidence_mean_unlearned_std,forget_entropy_mean_unlearned_mean,forget_entropy_mean_unlearned_std,mia_accuracy_unlearned_mean,mia_accuracy_unlearned_std,mia_improvement_mean,mia_improvement_std,js_divergence_mean_mean,js_divergence_mean_std,activation_cosine_similarity_mean,activation_cosine_similarity_std,retrain_fraction_mean,retrain_fraction_std
mnist,exact_retraining,10,0.9872,0.0007,0.0117,0.0007,0.9856,0.0006,0.0452,0.0018,0.5035,0.0015,-0.0038,0.0029,0.0092,0.0004,-0.0100,0.0070,0.7375,0.0000
mnist,federated_exact_retraining,10,0.9919,0.0002,0.0061,0.0002,0.9973,0.0001,0.0069,0.0002,0.4983,0.0011,0.0002,0.0021,0.0042,0.0001,,,,
mnist,sisa,10,0.9863,0.0004,0.0125,0.0005,0.2198,0.0001,2.2385,0.0001,0.5028,0.0023,-0.0037,0.0034,0.4062,0.0001,,,0.2875,0.0000
mnist,distillation,10,0.9880,0.0005,0.0101,0.0007,0.9956,0.0002,0.0110,0.0004,0.5002,0.0012,-0.0014,0.0021,0.0063,0.0004,0.7181,0.0068,0.7375,0.0000
mnist,mf,10,0.4468,0.0715,0.5502,0.0714,0.5538,0.0679,1.2677,0.1933,0.4988,0.0022,-0.0002,0.0033,0.3381,0.0410,0.3638,0.0634,0.0400,0.0000
adult,exact_retraining,10,0.8497,0.0096,-0.0166,0.0008,0.8562,0.0017,0.3120,0.0026,0.5001,0.0104,0.0068,0.0071,0.0170,0.0008,0.1234,0.0096,0.7375,0.0000
adult,federated_exact_retraining,10,0.8480,0.0094,-0.0123,0.0015,0.8805,0.0013,0.2608,0.0027,0.5054,0.0090,-0.0017,0.0113,0.0162,0.0007,,,,
adult,sisa,10,0.8491,0.0061,-0.0153,0.0006,0.6589,0.0008,0.6304,0.0004,0.5013,0.0072,-0.0009,0.0121,0.0631,0.0006,,,0.2875,0.0000
adult,distillation,10,0.8168,0.0144,0.0131,0.0029,0.8617,0.0009,0.2960,0.0020,0.5019,0.0125,0.0049,0.0072,0.0081,0.0002,0.1673,0.0124,0.7375,0.0000
adult,mf,10,0.7770,0.0103,0.0619,0.0082,0.8642,0.0038,0.3111,0.0074,0.4933,0.0078,0.0102,0.0095,0.0191,0.0025,0.8525,0.0063,0.0553,0.0000
cifar10,exact_retraining,1,0.7148,0.0000,0.1277,0.0000,0.7182,0.0000,0.8160,0.0000,0.5034,0.0000,0.0284,0.0000,0.1034,0.0000,0.4002,0.0000,0.7375,0.0000
cifar10,federated_exact_retraining,1,0.7579,0.0000,0.0839,0.0000,0.8552,0.0000,0.3980,0.0000,0.5032,0.0000,0.0322,0.0000,0.0839,0.0000,,,,
cifar10,sisa,1,0.6268,0.0000,0.2220,0.0000,0.1548,0.0000,2.2823,0.0000,0.4978,0.0000,0.0379,0.0000,0.3907,0.0000,,,0.2875,0.0000
cifar10,distillation,1,0.7018,0.0000,0.1397,0.0000,0.8242,0.0000,0.4911,0.0000,0.5054,0.0000,0.0318,0.0000,0.0886,0.0000,0.8447,0.0000,0.7375,0.0000
cifar10,mf,1,0.1006,0.0000,0.7481,0.0000,0.9592,0.0000,0.1821,0.0000,0.5003,0.0000,0.0344,0.0000,0.5850,0.0000,0.6692,0.0000,0.0400,0.0000
