dataset,strategy,seed,metric,value
mnist,exact_retraining,42,utility_accuracy_test,0.9864
mnist,exact_retraining,42,unlearning_score,0.0117
mnist,exact_retraining,42,forget_confidence_mean_unlearned,0.9845
mnist,exact_retraining,42,forget_entropy_mean_unlearned,0.0486
mnist,exact_retraining,42,mia_accuracy_unlearned,0.5036
mnist,exact_retraining,42,mia_improvement,-0.0025
mnist,exact_retraining,42,js_divergence_mean,0.0097
mnist,exact_retraining,42,activation_cosine_similarity,-0.0135
mnist,exact_retraining,42,retrain_fraction,0.7375
mnist,exact_retraining,43,utility_accuracy_test,0.9871
mnist,exact_retraining,43,unlearning_score,0.0121
mnist,exact_retraining,43,forget_confidence_mean_unlearned,0.9853
mnist,exact_retraining,43,forget_entropy_mean_unlearned,0.0465
mnist,exact_retraining,43,mia_accuracy_unlearned,0.5037
mnist,exact_retraining,43,mia_improvement,-0.0030
mnist,exact_retraining,43,js_divergence_mean,0.0095
mnist,exact_retraining,43,activation_cosine_similarity,0.0015
mnist,exact_retraining,43,retrain_fraction,0.7375
mnist,exact_retraining,44,utility_accuracy_test,0.9859
mnist,exact_retraining,44,unlearning_score,0.0127
mnist,exact_retraining,44,forget_confidence_mean_unlearned,0.9854
mnist,exact_retraining,44,forget_entropy_mean_unlearned,0.0455
mnist,exact_retraining,44,mia_accuracy_unlearned,0.5047
mnist,exact_retraining,44,mia_improvement,-0.0045
mnist,exact_retraining,44,js_divergence_mean,0.0097
mnist,exact_retraining,44,activation_cosine_similarity,-0.0125
mnist,exact_retraining,44,retrain_fraction,0.7375
mnist,exact_retraining,45,utility_accuracy_test,0.9874
mnist,exact_retraining,45,unlearning_score,0.0117
mnist,exact_retraining,45,forget_confidence_mean_unlearned,0.9859
mnist,exact_retraining,45,forget_entropy_mean_unlearned,0.0440
mnist,exact_retraining,45,mia_accuracy_unlearned,0.5049
mnist,exact_retraining,45,mia_improvement,-0.0061
mnist,exact_retraining,45,js_divergence_mean,0.0090
mnist,exact_retraining,45,activation_cosine_similarity,-0.0042
mnist,exact_retraining,45,retrain_fraction,0.7375
mnist,exact_retraining,46,utility_accuracy_test,0.9880
mnist,exact_retraining,46,unlearning_score,0.0106
mnist,exact_retraining,46,forget_confidence_mean_unlearned,0.9865
mnist,exact_retraining,46,forget_entropy_mean_unlearned,0.0421
mnist,exact_retraining,46,mia_accuracy_unlearned,0.5040
mnist,exact_retraining,46,mia_improvement,-0.0032
mnist,exact_retraining,46,js_divergence_mean,0.0086
mnist,exact_retraining,46,activation_cosine_similarity,-0.0135
mnist,exact_retraining,46,retrain_fraction,0.7375
mnist,exact_retraining,47,utility_accuracy_test,0.9870
mnist,exact_retraining,47,unlearning_score,0.0116
mnist,exact_retraining,47,forget_confidence_mean_unlearned,0.9859
mnist,exact_retraining,47,forget_entropy_mean_unlearned,0.0444
mnist,exact_retraining,47,mia_accuracy_unlearned,0.5042
mnist,exact_retraining,47,mia_improvement,-0.0082
mnist,exact_retraining,47,js_divergence_mean,0.0091
mnist,exact_retraining,47,activation_cosine_similarity,-0.0226
mnist,exact_retraining,47,retrain_fraction,0.7375
mnist,exact_retraining,48,utility_accuracy_test,0.9872
mnist,exact_retraining,48,unlearning_score,0.0126
mnist,exact_retraining,48,forget_confidence_mean_unlearned,0.9850
mnist,exact_retraining,48,forget_entropy_mean_unlearned,0.0471
mnist,exact_retraining,48,mia_accuracy_unlearned,0.5049
mnist,exact_retraining,48,mia_improvement,-0.0075
mnist,exact_retraining,48,js_divergence_mean,0.0097
mnist,exact_retraining,48,activation_cosine_similarity,-0.0042
mnist,exact_retraining,48,retrain_fraction,0.7375
mnist,exact_retraining,49,utility_accuracy_test,0.9876
mnist,exact_retraining,49,unlearning_score,0.0115
mnist,exact_retraining,49,forget_confidence_mean_unlearned,0.9860
mnist,exact_retraining,49,forget_entropy_mean_unlearned,0.0441
mnist,exact_retraining,49,mia_accuracy_unlearned,0.5024
mnist,exact_retraining,49,mia_improvement,-0.0039
mnist,exact_retraining,49,js_divergence_mean,0.0088
mnist,exact_retraining,49,activation_cosine_similarity,-0.0046
mnist,exact_retraining,49,retrain_fraction,0.7375
mnist,exact_retraining,50,utility_accuracy_test,0.9874
mnist,exact_retraining,50,unlearning_score,0.0115
mnist,exact_retraining,50,forget_confidence_mean_unlearned,0.9856
mnist,exact_retraining,50,forget_entropy_mean_unlearned,0.0455
mnist,exact_retraining,50,mia_accuracy_unlearned,0.5006
mnist,exact_retraining,50,mia_improvement,0.0011
mnist,exact_retraining,50,js_divergence_mean,0.0091
mnist,exact_retraining,50,activation_cosine_similarity,-0.0120
mnist,exact_retraining,50,retrain_fraction,0.7375
mnist,exact_retraining,51,utility_accuracy_test,0.9880
mnist,exact_retraining,51,unlearning_score,0.0106
mnist,exact_retraining,51,forget_confidence_mean_unlearned,0.9859
mnist,exact_retraining,51,forget_entropy_mean_unlearned,0.0446
mnist,exact_retraining,51,mia_accuracy_unlearned,0.5016
mnist,exact_retraining,51,mia_improvement,-0.0005
mnist,exact_retraining,51,js_divergence_mean,0.0087
mnist,exact_retraining,51,activation_cosine_similarity,-0.0144
mnist,exact_retraining,51,retrain_fraction,0.7375
mnist,federated_exact_retraining,42,utility_accuracy_test,0.9922
mnist,federated_exact_retraining,42,unlearning_score,0.0059
mnist,federated_exact_retraining,42,forget_confidence_mean_unlearned,0.9974
mnist,federated_exact_retraining,42,forget_entropy_mean_unlearned,0.0066
mnist,federated_exact_retraining,42,mia_accuracy_unlearned,0.4990
mnist,federated_exact_retraining,42,mia_improvement,0.0001
mnist,federated_exact_retraining,42,js_divergence_mean,0.0040
mnist,federated_exact_retraining,43,utility_accuracy_test,0.9920
mnist,federated_exact_retraining,43,unlearning_score,0.0059
mnist,federated_exact_retraining,43,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,43,forget_entropy_mean_unlearned,0.0070
mnist,federated_exact_retraining,43,mia_accuracy_unlearned,0.4973
mnist,federated_exact_retraining,43,mia_improvement,0.0021
mnist,federated_exact_retraining,43,js_divergence_mean,0.0042
mnist,federated_exact_retraining,44,utility_accuracy_test,0.9919
mnist,federated_exact_retraining,44,unlearning_score,0.0058
mnist,federated_exact_retraining,44,forget_confidence_mean_unlearned,0.9973
mnist,federated_exact_retraining,44,forget_entropy_mean_unlearned,0.0069
mnist,federated_exact_retraining,44,mia_accuracy_unlearned,0.4996
mnist,federated_exact_retraining,44,mia_improvement,0.0005
mnist,federated_exact_retraining,44,js_divergence_mean,0.0042
mnist,federated_exact_retraining,45,utility_accuracy_test,0.9916
mnist,federated_exact_retraining,45,unlearning_score,0.0064
