dataset,strategy,n_seeds,utility_accuracy_test_mean,utility_accuracy_test_std,unlearning_score_mean,unlearning_score_std,forget_confidence_mean_unlearned_mean,forget_confidence_mean_unlearned_std,forget_entropy_mean_unlearned_mean,forget_entropy_mean_unlearned_std,mia_accuracy_unlearned_mean,mia_accuracy_unlearned_std,mia_improvement_mean,mia_improvement_std,js_divergence_mean_mean,js_divergence_mean_std,activation_cosine_similarity_mean,activation_cosine_similarity_std,retrain_fraction_mean,retrain_fraction_std
mnist,exact_retraining,10,0.9872,0.0013,0.0021,0.0016,0.9830,0.0027,0.0549,0.0089,0.5329,0.0142,-0.0126,0.0142,0.0090,0.0016,0.0162,0.0350,0.7800,0.0000
mnist,federated_exact_retraining,10,0.9829,0.0016,0.0088,0.0022,0.9876,0.0009,0.0340,0.0029,0.5393,0.0053,-0.0171,0.0041,0.0064,0.0011,,,,
mnist,sisa,10,0.9760,0.0041,0.0211,0.0081,0.2112,0.0027,2.2438,0.0018,0.5447,0.0094,-0.0238,0.0138,0.4090,0.0023,,,0.2200,0.0000
mnist,distillation,10,0.9750,0.0076,0.0159,0.0093,0.9848,0.0029,0.0409,0.0067,0.5222,0.0125,-0.0017,0.0095,0.0077,0.0043,0.7397,0.0232,0.7800,0.0000
mnist,mf,10,0.3179,0.0575,0.6873,0.0616,0.5897,0.0607,1.1776,0.1662,0.5006,0.0213,0.0215,0.0232,0.3983,0.0407,0.4025,0.0363,0.0440,0.0000
adult,exact_retraining,10,0.8466,0.0134,0.0033,0.0221,0.8701,0.0069,0.2880,0.0129,0.5427,0.0355,0.0263,0.0302,0.0094,0.0020,-0.0293,0.0396,0.8072,0.0000
adult,federated_exact_retraining,10,0.8426,0.0165,-0.0520,0.0237,0.9141,0.0048,0.2034,0.0085,0.5857,0.0156,-0.0073,0.0178,0.0059,0.0020,,,,
adult,sisa,10,0.8438,0.0122,-0.0584,0.0180,0.6523,0.0043,0.6326,0.0022,0.5880,0.0276,-0.0160,0.0348,0.0770,0.0036,,,0.2964,0.0000
adult,distillation,10,0.8302,0.0188,0.0010,0.0152,0.8958,0.0052,0.2233,0.0091,0.5723,0.0301,-0.0007,0.0260,0.0016,0.0002,0.5432,0.0256,0.8072,0.0000
adult,mf,10,0.8338,0.0199,-0.0714,0.0183,0.9258,0.0079,0.1776,0.0140,0.5840,0.0313,-0.0090,0.0263,0.0075,0.0030,0.5690,0.0646,0.0593,0.0000
