dataset,strategy,seed,metric,value
mnist,exact_retraining,42,utility_accuracy_test,0.9868
mnist,exact_retraining,42,unlearning_score,0.0124
mnist,exact_retraining,42,forget_confidence_mean_unlearned,0.9824
mnist,exact_retraining,42,forget_entropy_mean_unlearned,0.0553
mnist,exact_retraining,42,mia_accuracy_unlearned,0.5316
mnist,exact_retraining,42,mia_improvement,-0.0145
mnist,exact_retraining,42,js_divergence_mean,0.0109
mnist,exact_retraining,42,activation_cosine_similarity,-0.0045
mnist,exact_retraining,42,retrain_fraction,0.7299
mnist,exact_retraining,43,utility_accuracy_test,0.9853
mnist,exact_retraining,43,unlearning_score,0.0104
mnist,exact_retraining,43,forget_confidence_mean_unlearned,0.9820
mnist,exact_retraining,43,forget_entropy_mean_unlearned,0.0570
mnist,exact_retraining,43,mia_accuracy_unlearned,0.5161
mnist,exact_retraining,43,mia_improvement,0.0032
mnist,exact_retraining,43,js_divergence_mean,0.0102
mnist,exact_retraining,43,activation_cosine_similarity,0.0028
mnist,exact_retraining,43,retrain_fraction,0.7299
mnist,exact_retraining,44,utility_accuracy_test,0.9859
mnist,exact_retraining,44,unlearning_score,0.0124
mnist,exact_retraining,44,forget_confidence_mean_unlearned,0.9815
mnist,exact_retraining,44,forget_entropy_mean_unlearned,0.0574
mnist,exact_retraining,44,mia_accuracy_unlearned,0.5313
mnist,exact_retraining,44,mia_improvement,-0.0150
mnist,exact_retraining,44,js_divergence_mean,0.0110
mnist,exact_retraining,44,activation_cosine_similarity,-0.0049
mnist,exact_retraining,44,retrain_fraction,0.7299
mnist,exact_retraining,45,utility_accuracy_test,0.9858
mnist,exact_retraining,45,unlearning_score,0.0125
mnist,exact_retraining,45,forget_confidence_mean_unlearned,0.9819
mnist,exact_retraining,45,forget_entropy_mean_unlearned,0.0559
mnist,exact_retraining,45,mia_accuracy_unlearned,0.5257
mnist,exact_retraining,45,mia_improvement,-0.0088
mnist,exact_retraining,45,js_divergence_mean,0.0110
mnist,exact_retraining,45,activation_cosine_similarity,-0.0091
mnist,exact_retraining,45,retrain_fraction,0.7299
mnist,exact_retraining,46,utility_accuracy_test,0.9840
mnist,exact_retraining,46,unlearning_score,0.0137
mnist,exact_retraining,46,forget_confidence_mean_unlearned,0.9817
mnist,exact_retraining,46,forget_entropy_mean_unlearned,0.0565
mnist,exact_retraining,46,mia_accuracy_unlearned,0.5274
mnist,exact_retraining,46,mia_improvement,-0.0090
mnist,exact_retraining,46,js_divergence_mean,0.0120
mnist,exact_retraining,46,activation_cosine_similarity,0.0233
mnist,exact_retraining,46,retrain_fraction,0.7299
mnist,exact_retraining,47,utility_accuracy_test,0.9864
mnist,exact_retraining,47,unlearning_score,0.0109
mnist,exact_retraining,47,forget_confidence_mean_unlearned,0.9823
mnist,exact_retraining,47,forget_entropy_mean_unlearned,0.0560
mnist,exact_retraining,47,mia_accuracy_unlearned,0.5224
mnist,exact_retraining,47,mia_improvement,-0.0060
mnist,exact_retraining,47,js_divergence_mean,0.0105
mnist,exact_retraining,47,activation_cosine_similarity,0.0022
mnist,exact_retraining,47,retrain_fraction,0.7299
mnist,exact_retraining,48,utility_accuracy_test,0.9854
